trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,block_name
1959070,125,2,"Fort Street-River Rouge",,1,11291,shp-125-01,1,1,1129
46020,125,3,"Fort Street-River Rouge",,1,11241,shp-125-01,1,1,1124
22020,125,3,"Fort Street-River Rouge",,1,11211,shp-125-01,1,1,1121
1652020,125,3,"Fort Street-River Rouge",,1,11231,shp-125-01,1,1,1123
549020,125,3,"Fort Street-River Rouge",,1,11301,shp-125-01,1,1,1130
459020,125,3,"Fort Street-River Rouge",,1,11311,shp-125-01,1,1,1131
1287070,125,2,"Fort Street-River Rouge",,1,11281,shp-125-01,1,1,1128
655020,125,3,"Fort Street-River Rouge",,1,11331,shp-125-01,1,1,1133
2319070,125,2,"Fort Street-River Rouge",,1,11301,shp-125-01,1,1,1130
1430010,125,1,"Fort Street-River Rouge",,1,11281,shp-125-01,1,1,1128
321020,125,3,"Fort Street-River Rouge",,1,11211,shp-125-01,1,1,1121
3103070,125,2,"Fort Street-River Rouge",,1,11271,shp-125-01,1,1,1127
1423020,125,3,"Fort Street-River Rouge",,1,11271,shp-125-01,1,1,1127
2218070,125,2,"Fort Street-River Rouge",,1,11271,shp-125-01,1,1,1127
3576070,125,2,"Fort Street-River Rouge",,1,11251,shp-125-01,1,1,1125
327020,125,3,"Fort Street-River Rouge",,1,11201,shp-125-01,1,1,1120
1023020,125,3,"Fort Street-River Rouge",,1,11341,shp-125-01,1,1,1134
6010,125,1,"Fort Street-River Rouge",,1,11291,shp-125-01,1,1,1129
2887010,125,1,"Fort Street-River Rouge",,1,11251,shp-125-01,1,1,1125
3268010,125,1,"Fort Street-River Rouge",,1,11281,shp-125-01,1,1,1128
866070,125,2,"Fort Street-River Rouge",,1,11261,shp-125-01,1,1,1126
1576020,125,3,"Fort Street-River Rouge",,1,11211,shp-125-01,1,1,1121
316020,125,3,"Fort Street-River Rouge",,1,11281,shp-125-01,1,1,1128
2318070,125,2,"Fort Street-River Rouge",,1,11251,shp-125-01,1,1,1125
