trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1233070,125,2,"Fort Street-River Rouge",,1,11281,shp-125-01,1,1
1265020,125,3,"Fort Street-River Rouge",,1,11331,shp-125-01,1,1
1340070,125,2,"Fort Street-River Rouge",,1,11261,shp-125-01,1,1
1540020,125,3,"Fort Street-River Rouge",,1,11211,shp-125-01,1,1
1721010,125,1,"Fort Street-River Rouge",,1,11271,shp-125-01,1,1
1267070,125,2,"Fort Street-River Rouge",,1,11271,shp-125-01,1,1
2149010,125,1,"Fort Street-River Rouge",,1,11251,shp-125-01,1,1
2498020,125,3,"Fort Street-River Rouge",,1,11291,shp-125-01,1,1
1765020,125,3,"Fort Street-River Rouge",,1,11261,shp-125-01,1,1
2728070,125,2,"Fort Street-River Rouge",,1,11291,shp-125-01,1,1
2821070,125,2,"Fort Street-River Rouge",,1,11271,shp-125-01,1,1
1722010,125,1,"Fort Street-River Rouge",,1,11281,shp-125-01,1,1
1935020,125,3,"Fort Street-River Rouge",,1,11231,shp-125-01,1,1
2072020,125,3,"Fort Street-River Rouge",,1,11341,shp-125-01,1,1
2449010,125,1,"Fort Street-River Rouge",,1,11261,shp-125-01,1,1
1824070,125,2,"Fort Street-River Rouge",,1,11271,shp-125-01,1,1
2713020,125,3,"Fort Street-River Rouge",,1,11271,shp-125-01,1,1
2761070,125,2,"Fort Street-River Rouge",,1,11251,shp-125-01,1,1
2523020,125,3,"Fort Street-River Rouge",,1,11301,shp-125-01,1,1
2529070,125,2,"Fort Street-River Rouge",,1,11261,shp-125-01,1,1
1011020,125,3,"Fort Street-River Rouge",,1,11261,shp-125-01,1,1
1032020,125,3,"Fort Street-River Rouge",,1,11211,shp-125-01,1,1
1128020,125,3,"Fort Street-River Rouge",,1,11241,shp-125-01,1,1
1102020,125,3,"Fort Street-River Rouge",,1,11231,shp-125-01,1,1
2600020,125,3,"Fort Street-River Rouge",,1,11281,shp-125-01,1,1
3191020,125,3,"Fort Street-River Rouge",,1,11301,shp-125-01,1,1
3218070,125,2,"Fort Street-River Rouge",,1,11261,shp-125-01,1,1
395010,125,1,"Fort Street-River Rouge",,1,11301,shp-125-01,1,1
3402020,125,3,"Fort Street-River Rouge",,1,11341,shp-125-01,1,1
3335020,125,3,"Fort Street-River Rouge",,1,11321,shp-125-01,1,1
553070,125,2,"Fort Street-River Rouge",,1,11291,shp-125-01,1,1
580010,125,1,"Fort Street-River Rouge",,1,11251,shp-125-01,1,1
657010,125,1,"Fort Street-River Rouge",,1,11301,shp-125-01,1,1
754020,125,3,"Fort Street-River Rouge",,1,11241,shp-125-01,1,1
832070,125,2,"Fort Street-River Rouge",,1,11301,shp-125-01,1,1
485020,125,3,"Fort Street-River Rouge",,1,11321,shp-125-01,1,1
2630070,125,2,"Fort Street-River Rouge",,1,11251,shp-125-01,1,1
2770070,125,2,"Fort Street-River Rouge",,1,11291,shp-125-01,1,1
990010,125,1,"Fort Street-River Rouge",,1,11291,shp-125-01,1,1
3284010,125,1,"Fort Street-River Rouge",,1,11281,shp-125-01,1,1
441020,125,3,"Fort Street-River Rouge",,1,11251,shp-125-01,1,1
58010,125,1,"Fort Street-River Rouge",,1,11251,shp-125-01,1,1
737020,125,3,"Fort Street-River Rouge",,1,11351,shp-125-01,1,1
927020,125,3,"Fort Street-River Rouge",,1,11211,shp-125-01,1,1
3138020,125,3,"Fort Street-River Rouge",,1,11271,shp-125-01,1,1
3262070,125,2,"Fort Street-River Rouge",,1,11251,shp-125-01,1,1
758020,125,3,"Fort Street-River Rouge",,1,11231,shp-125-01,1,1
874020,125,3,"Fort Street-River Rouge",,1,11251,shp-125-01,1,1
2811020,125,3,"Fort Street-River Rouge",,1,11341,shp-125-01,1,1
534070,125,2,"Fort Street-River Rouge",,1,11301,shp-125-01,1,1
331010,125,1,"Fort Street-River Rouge",,1,11271,shp-125-01,1,1
730020,125,3,"Fort Street-River Rouge",,1,11351,shp-125-01,1,1
555020,125,3,"Fort Street-River Rouge",,1,11221,shp-125-01,1,1
885020,125,3,"Fort Street-River Rouge",,1,11241,shp-125-01,1,1
2139010,125,1,"Fort Street-River Rouge",,1,11281,shp-125-01,1,1
2278020,125,3,"Fort Street-River Rouge",,1,11311,shp-125-01,1,1
2398020,125,3,"Fort Street-River Rouge",,1,11331,shp-125-01,1,1
2802070,125,2,"Fort Street-River Rouge",,1,11281,shp-125-01,1,1
369020,125,3,"Fort Street-River Rouge",,1,11301,shp-125-01,1,1
389010,125,1,"Fort Street-River Rouge",,1,11261,shp-125-01,1,1
41020,125,3,"Fort Street-River Rouge",,1,11321,shp-125-01,1,1
679020,125,3,"Fort Street-River Rouge",,1,11261,shp-125-01,1,1
94010,125,1,"Fort Street-River Rouge",,1,11261,shp-125-01,1,1
944070,125,2,"Fort Street-River Rouge",,1,11281,shp-125-01,1,1
1581020,125,3,"Fort Street-River Rouge",,1,11311,shp-125-01,1,1
2085020,125,3,"Fort Street-River Rouge",,1,11201,shp-125-01,1,1
2295010,125,1,"Fort Street-River Rouge",,1,11291,shp-125-01,1,1
2791010,125,1,"Fort Street-River Rouge",,1,11291,shp-125-01,1,1
519070,125,2,"Fort Street-River Rouge",,1,11301,shp-125-01,1,1
541020,125,3,"Fort Street-River Rouge",,1,11311,shp-125-01,1,1
576020,125,3,"Metro Airport",,0,11241,shp-125-51,1,1
556070,125,2,"Metro Airport",,0,11261,shp-125-51,1,1
621020,125,3,"Metro Airport",,0,11321,shp-125-51,1,1
341020,125,3,"Metro Airport",,0,11231,shp-125-51,1,1
461070,125,2,"Metro Airport",,0,11291,shp-125-51,1,1
26020,125,3,"Metro Airport",,0,11341,shp-125-51,1,1
2615010,125,1,"Metro Airport",,0,11271,shp-125-51,1,1
242010,125,1,"Metro Airport",,0,11251,shp-125-51,1,1
2757070,125,2,"Metro Airport",,0,11291,shp-125-51,1,1
2782020,125,3,"Metro Airport",,0,11201,shp-125-51,1,1
2695020,125,3,"Metro Airport",,0,11261,shp-125-51,1,1
1953020,125,3,"Metro Airport",,0,11251,shp-125-51,1,1
720070,125,2,"Metro Airport",,0,11291,shp-125-51,1,1
1666010,125,1,"Metro Airport",,0,11251,shp-125-51,1,1
827010,125,1,"Metro Airport",,0,11291,shp-125-51,1,1
322010,125,1,"Metro Airport",,0,11271,shp-125-51,1,1
2814070,125,2,"Metro Airport",,0,11301,shp-125-51,1,1
934020,125,3,"Metro Airport",,0,11261,shp-125-51,1,1
755020,125,3,"Metro Airport",,0,11231,shp-125-51,1,1
3052010,125,1,"Metro Airport",,0,11281,shp-125-51,1,1
714010,125,1,"Metro Airport",,0,11281,shp-125-51,1,1
3244070,125,2,"Metro Airport",,0,11251,shp-125-51,1,1
781020,125,3,"Metro Airport",,0,11261,shp-125-51,1,1
344070,125,2,"Metro Airport",,0,11281,shp-125-51,1,1
418020,125,3,"Metro Airport",,0,11281,shp-125-51,1,1
728020,125,3,"Metro Airport",,0,11301,shp-125-51,1,1
733020,125,3,"Metro Airport",,0,11351,shp-125-51,1,1
935070,125,2,"Metro Airport",,0,11271,shp-125-51,1,1
480020,125,3,"Metro Airport",,0,11271,shp-125-51,1,1
2836020,125,3,"Metro Airport",,0,11231,shp-125-51,1,1
2726020,125,3,"Metro Airport",,0,11311,shp-125-51,1,1
2587020,125,3,"Metro Airport",,0,11211,shp-125-51,1,1
1221020,125,3,"Metro Airport",,0,11251,shp-125-51,1,1
2868020,125,3,"Metro Airport",,0,11311,shp-125-51,1,1
2315020,125,3,"Metro Airport",,0,11271,shp-125-51,1,1
2416010,125,1,"Metro Airport",,0,11281,shp-125-51,1,1
2290020,125,3,"Metro Airport",,0,11241,shp-125-51,1,1
2346010,125,1,"Metro Airport",,0,11271,shp-125-51,1,1
3174020,125,3,"Metro Airport",,0,11251,shp-125-51,1,1
2743010,125,1,"Metro Airport",,0,11301,shp-125-51,1,1
2233020,125,3,"Metro Airport",,0,11311,shp-125-51,1,1
1896010,125,1,"Metro Airport",,0,11261,shp-125-51,1,1
1764020,125,3,"Metro Airport",,0,11351,shp-125-51,1,1
2741010,125,1,"Metro Airport",,0,11301,shp-125-51,1,1
27070,125,2,"Metro Airport",,0,11261,shp-125-51,1,1
2397010,125,1,"Metro Airport",,0,11261,shp-125-51,1,1
2577070,125,2,"Metro Airport",,0,11281,shp-125-51,1,1
2581070,125,2,"Metro Airport",,0,11261,shp-125-51,1,1
2430010,125,1,"Metro Airport",,0,11251,shp-125-51,1,1
1444070,125,2,"Metro Airport",,0,11301,shp-125-51,1,1
2016010,125,1,"Metro Airport",,0,11301,shp-125-51,1,1
2168070,125,2,"Metro Airport",,0,11281,shp-125-51,1,1
1333020,125,3,"Metro Airport",,0,11241,shp-125-51,1,1
1439020,125,3,"Metro Airport",,0,11291,shp-125-51,1,1
1216020,125,3,"Metro Airport",,0,11331,shp-125-51,1,1
1202020,125,3,"Metro Airport",,0,11211,shp-125-51,1,1
1867020,125,3,"Metro Airport",,0,11321,shp-125-51,1,1
1629020,125,3,"Metro Airport",,0,11321,shp-125-51,1,1
1905010,125,1,"Metro Airport",,0,11291,shp-125-51,1,1
1046020,125,3,"Metro Airport",,0,11291,shp-125-51,1,1
1066070,125,2,"Metro Airport",,0,11251,shp-125-51,1,1
1068020,125,3,"Metro Airport",,0,11221,shp-125-51,1,1
