stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1,22361,Metro Airport Evans Terminal,,42.226257,-83.346203,,,,,,0
2,20089,Middlebelt & Goddard Ext,,42.238288,-83.327797,,,,,,0
3,11072,Middlebelt & Lucas,,42.235523,-83.327702,,,,,,0
4,20090,Middlebelt & Hildebrandt,,42.232082,-83.327590,,,,,,0
5,20091,Middlebelt & Lorman,,42.229625,-83.327527,,,,,,0
6,10405,Middlebelt & Goddard,,42.224992,-83.327383,,,,,,0
7,23216,Middlebelt & Enterprise,,42.220088,-83.327177,,,,,,0
8,161,Middlebelt & Northline,,42.209655,-83.326668,,,,,,0
9,120,Eureka & Middlebelt SE,,42.195483,-83.325063,,,,,,0
11,11180,Eureka & Meadow,,42.195738,-83.312713,,,,,,0
12,122,Eureka & Inkster SE,,42.196000,-83.305623,,,,,,0
13,21102,Eureka & Siebert,,42.196247,-83.302890,,,,,,0
14,11773,Eureka & Ponds Apartments,,42.196375,-83.301253,,,,,,0
15,11186,Eureka & Rushmore-Amber,,42.196548,-83.298948,,,,,,0
16,21103,Eureka & Hampden,,42.196755,-83.295293,,,,,,0
17,10520,Eureka & Court Village Lane,,42.196883,-83.290953,,,,,,0
18,21104,Eureka & Beech Daly,,42.197010,-83.285978,,,,,,0
19,21105,Eureka & Gulley,,42.197168,-83.280320,,,,,,0
20,11774,Eureka & Westlake,,42.197248,-83.277602,,,,,,0
21,23531,Eureka & Bailey Nearside,,42.197360,-83.274073,,,,,,0
22,21107,Eureka & Burr,,42.197415,-83.271960,,,,,,0
23,21108,Eureka & Telegraph,,42.197510,-83.267112,,,,,,0
24,21109,Eureka & Cornell,,42.197598,-83.264378,,,,,,0
27,21110,Eureka & Racho,,42.197932,-83.247498,,,,,,0
28,21111,Eureka & Seaway Drive,,42.197988,-83.242602,,,,,,0
29,11775,Eureka & Huron,,42.198210,-83.235528,,,,,,0
30,21112,Eureka & Jackson,,42.198520,-83.230395,,,,,,0
31,20638,Eureka & Allen,,42.198607,-83.227932,,,,,,0
32,20639,Eureka & Flanders,,42.198672,-83.225865,,,,,,0
33,11709,Eureka & Maywood,,42.198750,-83.221558,,,,,,0
34,20640,Eureka & Reeck,,42.198807,-83.218458,,,,,,0
35,20641,Eureka & Schafer Court,,42.198870,-83.214802,,,,,,0
36,20642,Eureka & Toledo,,42.198950,-83.210558,,,,,,0
37,20643,Eureka & McCann,,42.198973,-83.208683,,,,,,0
38,20644,Eureka & Richmond,,42.199028,-83.204900,,,,,,0
39,20645,Eureka & Kennebec,,42.199068,-83.202230,,,,,,0
40,20646,Eureka & Fordline,,42.199117,-83.198940,,,,,,0
41,20647,Eureka & Pearl,,42.199163,-83.196460,,,,,,0
42,125,Eureka & Trenton,,42.199267,-83.192645,,,,,,0
43,11150,Eureka & Southgate Shopping Center,,42.199267,-83.190230,,,,,,0
44,11151,Eureka & James,,42.199323,-83.187210,,,,,,0
45,11152,Eureka & Howard,,42.199355,-83.184460,,,,,,0
46,11153,Eureka & Fort,,42.199362,-83.181265,,,,,,0
47,57,Fort & Eureka,,42.199800,-83.179930,,,,,,0
48,22019,Fort & Maple,,42.201795,-83.180010,,,,,,0
49,22020,Fort & Oak,,42.204098,-83.180105,,,,,,0
50,22021,Fort & Vinewood,,42.206968,-83.180200,,,,,,0
51,22022,Fort & Walnut,,42.209122,-83.180327,,,,,,0
52,22023,Fort & Cedar,,42.212222,-83.180470,,,,,,0
53,128,Fort & Northline,,42.214232,-83.180582,,,,,,0
55,22025,Fort & Clark,,42.217332,-83.180693,,,,,,0
56,22026,Fort & Antoine,,42.218833,-83.180740,,,,,,0
57,22027,Fort & Baumey,,42.221012,-83.180835,,,,,,0
58,19510,Fort & Goddard,,42.223085,-83.180900,,,,,,0
59,19449,Fort & St John,,42.225548,-83.180900,,,,,,0
60,19450,Fort & Le Blanc,,42.227457,-83.180677,,,,,,0
61,19452,Fort & Riverbank,,42.230000,-83.180422,,,,,,0
62,19441,Fort & Emmons,,42.232622,-83.180120,,,,,,0
63,19453,Fort & Liberty,,42.234775,-83.179898,,,,,,0
64,19454,Fort & Buckingham,,42.236285,-83.179738,,,,,,0
65,19455,Fort & Merrill,,42.238598,-83.179723,,,,,,0
66,19456,Fort & Capitol,,42.240672,-83.179850,,,,,,0
67,19457,Fort & Detroit,,42.242247,-83.179898,,,,,,0
