route_id,direction_id,direction
125,1,Northbound
125,0,Southbound
140,0,Northbound
140,1,Southbound
160,0,Northbound
160,1,Southbound
200,1,Eastbound
200,0,Westbound
210,1,Eastbound
210,0,Westbound
250,1,Eastbound
250,0,Westbound
255,1,Eastbound
255,0,Westbound
261,1,Eastbound
261,0,Westbound
275,0,Northbound
275,1,Southbound
280,0,Northbound
280,1,Southbound
305,0,Northbound
305,1,Southbound
350,0,Eastbound
350,1,Westbound
375,0,Northbound
375,1,Southbound
400,0,Northbound
400,1,Southbound
405,0,Eastbound
405,1,Westbound
415,0,Northbound
415,1,Southbound
420,0,Northbound
420,1,Southbound
430,0,Northbound
430,1,Southbound
450,0,Northbound
450,1,Southbound
460,0,Northbound
460,1,Southbound
461,0,Northbound
461,1,Southbound
462,0,Northbound
462,1,Southbound
494,0,Northbound
494,1,Southbound
495,0,Northbound
495,1,Southbound
510,0,Northbound
510,1,Southbound
525,0,Northbound
525,1,Southbound
530,0,Northbound
530,1,Southbound
550,0,Northbound
550,1,Southbound
560,0,Northbound
560,1,Southbound
562,0,Northbound
562,1,Southbound
563,0,Northbound
563,1,Southbound
561,0,Northbound
561,1,Southbound
610,0,Northbound
610,1,Southbound
615,0,Northbound
615,1,Southbound
620,0,Northbound
620,1,Southbound
635,0,Northbound
635,1,Southbound
710,0,Eastbound
710,1,Westbound
730,1,Eastbound
730,0,Westbound
740,1,Eastbound
740,0,Westbound
760,1,Eastbound
760,0,Westbound
780,1,Eastbound
780,0,Westbound
790,0,Eastbound
790,1,Westbound
796,0,Eastbound
796,1,Westbound
805,1,Eastbound
805,0,Westbound
830,1,Northbound
830,0,Southbound
851,0,Northbound
851,1,Southbound
492,0,Northbound
492,1,Southbound
759,0,Eastbound
759,1,Westbound
